Abandon>>|<<v.>>|<<Abandonment; relinquishment.
Transport>>|<<v.>>|<<Transportation; carriage; conveyance.
Transport>>|<<v.>>|<<A vessel employed for transporting, especially for carrying soldiers, warlike stores, or provisions, from one place to another, or to convey convicts to their destination; -- called also transport ship, transport vessel.
Transport>>|<<v.>>|<<Vehement emotion; passion; ecstasy; rapture.
Transport>>|<<v.>>|<<A convict transported, or sentenced to exile.
Traunce>>|<<n. &amp; v.>>|<<See Trance.
Tremor>>|<<v.>>|<<A trembling; a shivering or shaking; a quivering or vibratory motion; as, the tremor of a person who is weak, infirm, or old.
Trespass>>|<<v.>>|<<Any injury or offence done to another.
Trespass>>|<<v.>>|<<Any voluntary transgression of the moral law; any violation of a known rule of duty; sin.
Trespass>>|<<v.>>|<<An unlawful act committed with force and violence (vi et armis) on the person, property, or relative rights of another.
Trespass>>|<<v.>>|<<An action for injuries accompanied with force.
Turney>>|<<n. &amp; v.>>|<<Tourney.
Tweel>>|<<n. &amp; v.>>|<<See Twill.
Tyre>>|<<n. &amp; v.>>|<<Attire. See 2d and 3d Tire.
Vegetable>>|<<v.>>|<<Of or pertaining to plants; having the nature of, or produced by, plants; as, a vegetable nature; vegetable growths, juices, etc.
Vegetable>>|<<v.>>|<<Consisting of, or comprising, plants; as, the vegetable kingdom.
Vegetable>>|<<v.>>|<<Plants having distinct flowers and true seeds.
Vegetable>>|<<v.>>|<<Plants without true flowers, and reproduced by minute spores of various kinds, or by simple cell division.
Vernish>>|<<n. &amp; v.>>|<<Varnish.
Vision>>|<<v.>>|<<The act of seeing external objects; actual sight.
Vision>>|<<v.>>|<<The faculty of seeing; sight; one of the five senses, by which colors and the physical qualities of external objects are appreciated as a result of the stimulating action of light on the sensitive retina, an expansion of the optic nerve.
Vision>>|<<v.>>|<<That which is seen; an object of sight.
Vision>>|<<v.>>|<<Especially, that which is seen otherwise than by the ordinary sight, or the rational eye; a supernatural, prophetic, or imaginary sight; an apparition; a phantom; a specter; as, the visions of Isaiah.
Vision>>|<<v.>>|<<Hence, something unreal or imaginary; a creation of fancy.
Wag>>|<<v.>>|<<The act of wagging; a shake; as, a wag of the head.
Wag>>|<<v.>>|<<A man full of sport and humor; a ludicrous fellow; a humorist; a wit; a joker.
Waiment>>|<<v. &amp; n.>>|<<See Wayment.
Walwe>>|<<v.>>|<<To wallow.
Warp>>|<<v.>>|<<The threads which are extended lengthwise in the loom, and crossed by the woof.
Warp>>|<<v.>>|<<A rope used in hauling or moving a vessel, usually with one end attached to an anchor, a post, or other fixed object; a towing line; a warping hawser.
Warp>>|<<v.>>|<<A slimy substance deposited on land by tides, etc., by which a rich alluvial soil is formed.
Warp>>|<<v.>>|<<A premature casting of young; -- said of cattle, sheep, etc.
Warp>>|<<v.>>|<<Four; esp., four herrings; a cast.  See Cast, n., 17.
Warp>>|<<v.>>|<<The state of being warped or twisted; as, the warp of a board.
Was>>|<<v.>>|<<The first and third persons singular of the verb be, in the indicative mood, preterit (imperfect) tense; as, I was; he was.
Waste>>|<<v.>>|<<The act of wasting, or the state of being wasted; a squandering; needless destruction; useless consumption or expenditure; devastation; loss without equivalent gain; gradual loss or decrease, by use, wear, or decay; as, a waste of property, time, labor, words, etc.
Waste>>|<<v.>>|<<That which is wasted or desolate; a devastated, uncultivated, or wild country; a deserted region; an unoccupied or unemployed space; a dreary void; a desert; a wilderness.
Waste>>|<<v.>>|<<That which is of no value; worthless remnants; refuse. Specifically: Remnants of cops, or other refuse resulting from the working of cotton, wool, hemp, and the like, used for wiping machinery, absorbing oil in the axle boxes of railway cars, etc.
Waste>>|<<v.>>|<<Spoil, destruction, or injury, done to houses, woods, fences, lands, etc., by a tenant for life or for years, to the prejudice of the heir, or of him in reversion or remainder.
Waste>>|<<v.>>|<<Old or abandoned workings, whether left as vacant space or filled with refuse.
Waver>>|<<v.>>|<<A sapling left standing in a fallen wood.
Werk>>|<<v.>>|<<Alt. of Werke
Werke>>|<<v.>>|<<See Work.
Whitile>>|<<v.>>|<<The yaffle.
Whorl>>|<<n. &amp; v.>>|<<A circle of two or more leaves, flowers, or other organs, about the same part or joint of a stem.
Whorl>>|<<n. &amp; v.>>|<<A volution, or turn, of the spire of a univalve shell.
Whorl>>|<<n. &amp; v.>>|<<The fly of a spindle.
Will>>|<<v.>>|<<The power of choosing; the faculty or endowment of the soul by which it is capable of choosing; the faculty or power of the mind by which we decide to do or not to do; the power or faculty of preferring or selecting one of two or more objects.
Will>>|<<v.>>|<<The choice which is made; a determination or preference which results from the act or exercise of the power of choice; a volition.
Will>>|<<v.>>|<<The choice or determination of one who has authority; a decree; a command; discretionary pleasure.
Will>>|<<v.>>|<<Strong wish or inclination; desire; purpose.
Will>>|<<v.>>|<<That which is strongly wished or desired.
Will>>|<<v.>>|<<Arbitrary disposal; power to control, dispose, or determine.
Will>>|<<v.>>|<<The legal declaration of a person's mind as to the manner in which he would have his property or estate disposed of after his death; the written instrument, legally executed, by which a man makes disposition of his estate, to take effect after his death; testament; devise.  See the Note under Testament, 1.
Windlace>>|<<n. &amp; v.>>|<<See Windlass.
Wise>>|<<v.>>|<<Having knowledge; knowing; enlightened; of extensive information; erudite; learned.
Wise>>|<<v.>>|<<Hence, especially, making due use of knowledge; discerning and judging soundly concerning what is true or false, proper or improper; choosing the best ends and the best means for accomplishing them; sagacious.
Wise>>|<<v.>>|<<Versed in art or science; skillful; dexterous; specifically, skilled in divination.
Wise>>|<<v.>>|<<Hence, prudent; calculating; shrewd; wary; subtle; crafty.
Wise>>|<<v.>>|<<Dictated or guided by wisdom; containing or exhibiting wisdom; well adapted to produce good effects; judicious; discreet; as, a wise saying; a wise scheme or plan; wise conduct or management; a wise determination.
Wise>>|<<v.>>|<<Way of being or acting; manner; mode; fashion.
Wiseacre>>|<<v.>>|<<A learned or wise man.
Wiseacre>>|<<v.>>|<<One who makes undue pretensions to wisdom; a would-be-wise person; hence, in contempt, a simpleton; a dunce.
Wist>>|<<v.>>|<<Knew.
Wit>>|<<v.>>|<<Mind; intellect; understanding; sense.
Wit>>|<<v.>>|<<A mental faculty, or power of the mind; -- used in this sense chiefly in the plural, and in certain phrases; as, to lose one's wits; at one's wits' end, and the like.
Wit>>|<<v.>>|<<Felicitous association of objects not usually connected, so as to produce a pleasant surprise; also. the power of readily combining objects in such a manner.
Wit>>|<<v.>>|<<A person of eminent sense or knowledge; a man of genius, fancy, or humor; one distinguished for bright or amusing sayings, for repartee, and the like.
Wite>>|<<v.>>|<<To reproach; to blame; to censure; also, to impute as blame.
Wite>>|<<v.>>|<<Blame; reproach.
Witing>>|<<v.>>|<<Knowledge.
Wittingly>>|<<v.>>|<<Knowingly; with knowledge; by design.
Wrie>>|<<a. &amp; v.>>|<<See Wry.
Yawp>>|<<v. &amp; n.>>|<<See Yaup.
Yux>>|<<n. &amp; v.>>|<<See Yex, n.
